@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 {0,1,2,3}

@data
2114,'2023/03/14 23:20:58:018',12,10.538589,0.101396,-0.188136,1
2115,'2023/03/14 23:20:58:036',12,10.375578,0.131306,0.228515,1
2116,'2023/03/14 23:20:58:055',12,10.065707,0.120538,0.531207,1
2117,'2023/03/14 23:20:58:073',12,10.036994,0.106182,0.324227,1
2118,'2023/03/14 23:20:58:093',12,10.39831,0.09661,-0.171386,1
2119,'2023/03/14 23:20:58:113',12,10.576875,0.042772,-0.50668,1
2120,'2023/03/14 23:20:58:132',12,10.406685,-0.048455,-0.60359,1
2121,'2023/03/14 23:20:58:151',12,10.21167,-0.068794,-0.449252,1
2122,'2023/03/14 23:20:58:170',12,10.107582,-0.132203,-0.264706,1
2123,'2023/03/14 23:20:58:191',12,10.031012,-0.198006,-0.112762,1
2124,'2023/03/14 23:20:58:208',12,9.853643,-0.220738,-0.196511,1
2125,'2023/03/14 23:20:58:228',12,9.79143,-0.233898,-0.54018,1
2126,'2023/03/14 23:20:58:247',12,9.816555,-0.245863,-0.750748,1
2127,'2023/03/14 23:20:58:265',12,9.942477,-0.230309,-0.777069,1
2128,'2023/03/14 23:20:58:285',12,9.899107,-0.237488,-0.662214,1
2129,'2023/03/14 23:20:58:304',12,9.834501,-0.247059,-0.694517,1
2130,'2023/03/14 23:20:58:324',12,9.942477,-0.238684,-0.85005,1
2131,'2023/03/14 23:20:58:342',12,10.111171,-0.139382,-0.933799,1
2132,'2023/03/14 23:20:58:363',12,10.249955,-0.11665,-0.89671,1
2133,'2023/03/14 23:20:58:382',12,10.466505,-0.14656,-0.839283,1
2134,'2023/03/14 23:20:58:401',12,10.767104,-0.125025,-0.688535,1
2135,'2023/03/14 23:20:58:421',12,10.956137,-0.087936,-0.609572,1
2136,'2023/03/14 23:20:58:438',12,10.93819,-0.002692,-0.629911,1
2137,'2023/03/14 23:20:58:457',12,10.897512,0.059521,-0.725623,1
2138,'2023/03/14 23:20:58:480',12,10.855639,0.088235,-0.80339,1
2139,'2023/03/14 23:20:58:496',12,10.507483,-0.006281,-0.823729,1
2140,'2023/03/14 23:20:58:516',12,10.212866,-0.068794,-0.822533,1
2141,'2023/03/14 23:20:58:535',12,10.379168,-0.151346,-0.798605,1
2142,'2023/03/14 23:20:58:553',12,10.694122,-0.101097,-0.775873,1
2143,'2023/03/14 23:20:58:573',12,10.500304,-0.078365,-0.894317,1
2144,'2023/03/14 23:20:58:593',12,10.151849,0.03679,-0.980758,1
2145,'2023/03/14 23:20:58:611',12,10.072886,0.128913,-0.96999,1
2146,'2023/03/14 23:20:58:630',12,9.955638,0.148056,-0.777069,1
2147,'2023/03/14 23:20:58:650',12,9.912268,0.078664,-0.564108,1
2148,'2023/03/14 23:20:58:669',12,9.930513,0.057129,-0.409771,1
2149,'2023/03/14 23:20:58:687',12,9.955638,-0.000299,-0.165404,1
2150,'2023/03/14 23:20:58:708',12,9.885947,-0.054437,-0.02662,1
2151,'2023/03/14 23:20:58:726',12,10.096814,-0.012263,-0.031406,1
2152,'2023/03/14 23:20:58:745',12,10.065707,0.045165,-0.257528,1
2153,'2023/03/14 23:20:58:766',12,9.747163,0.051147,-0.334098,1
2154,'2023/03/14 23:20:58:784',12,9.41456,0.100199,-0.189332,1
2155,'2023/03/14 23:20:58:802',12,9.549755,0.238983,-0.096012,1
2156,'2023/03/14 23:20:58:822',12,9.609575,0.335892,-0.264706,1
2157,'2023/03/14 23:20:58:841',12,9.360423,0.362214,-0.52343,1
2158,'2023/03/14 23:20:58:861',12,9.000303,0.41007,-0.416949,1
2159,'2023/03/14 23:20:58:882',12,9.119945,0.45673,-0.208475,1
2160,'2023/03/14 23:20:58:899',12,9.796216,0.32991,-0.025424,1
2161,'2023/03/14 23:20:58:917',12,10.30499,0.261715,0.017647,1
2162,'2023/03/14 23:20:58:938',12,10.557732,0.11336,-0.227617,1
2163,'2023/03/14 23:20:58:956',12,10.532607,-0.066401,-0.409771,1
2164,'2023/03/14 23:20:58:976',12,10.482059,-0.077169,-0.252742,1
2165,'2023/03/14 23:20:58:996',12,9.973584,-0.105882,0.379262,1
2166,'2023/03/14 23:20:59:013',12,9.420543,-0.078365,0.762413,1
2167,'2023/03/14 23:20:59:033',12,9.197711,-0.105882,0.77677,1
2168,'2023/03/14 23:20:59:052',12,9.170194,-0.043669,0.272782,1
2169,'2023/03/14 23:20:59:071',12,9.454042,0.171984,0.122931,1
2170,'2023/03/14 23:20:59:091',12,9.806984,0.258126,-0.182154,1
2171,'2023/03/14 23:20:59:111',12,9.787841,0.258126,-0.65025,1
2172,'2023/03/14 23:20:59:129',12,9.763913,0.27009,-0.968794,1
2173,'2023/03/14 23:20:59:149',12,9.564112,0.209073,-0.714856,1
2174,'2023/03/14 23:20:59:167',12,9.750752,0.120538,-0.148654,1
2175,'2023/03/14 23:20:59:186',12,10.169795,0.00329,0.190229,1
2176,'2023/03/14 23:20:59:205',12,10.413863,-0.047258,0.122931,1
2177,'2023/03/14 23:20:59:227',12,10.385149,-0.181256,0.055932,1
2178,'2023/03/14 23:20:59:245',12,10.255937,-0.29013,0.055932,1
2179,'2023/03/14 23:20:59:263',12,10.058529,-0.160917,0.308674,1
2180,'2023/03/14 23:20:59:284',12,9.811769,-0.110668,0.65683,1
2181,'2023/03/14 23:20:59:302',12,9.801002,0.063111,0.768395,1
2182,'2023/03/14 23:20:59:320',12,9.583255,0.216251,0.738485,1
2183,'2023/03/14 23:20:59:342',12,9.667004,0.248554,0.678365,1
2184,'2023/03/14 23:20:59:358',12,9.876375,0.401695,0.648455,1
2185,'2023/03/14 23:20:59:377',12,9.946067,0.534796,0.719043,1
2186,'2023/03/14 23:20:59:398',12,9.801002,0.54676,0.689133,1
2187,'2023/03/14 23:20:59:416',12,9.725628,0.535992,0.564706,1
2188,'2023/03/14 23:20:59:436',12,9.882358,0.49023,0.659223,1
2189,'2023/03/14 23:20:59:456',12,10.04178,0.450748,0.655633,1
2190,'2023/03/14 23:20:59:474',12,9.983155,0.339482,0.64008,1
2191,'2023/03/14 23:20:59:494',12,10.040583,0.259322,0.520439,1
2192,'2023/03/14 23:20:59:512',12,10.108778,0.162413,0.309871,1
2193,'2023/03/14 23:20:59:533',12,10.159028,0.026022,0.121735,1
2194,'2023/03/14 23:20:59:551',12,10.089636,-0.072383,-0.319741,1
2195,'2023/03/14 23:20:59:571',12,10.13151,-0.068794,-0.556929,1
2196,'2023/03/14 23:20:59:589',12,10.215259,0.000897,-0.537787,1
2197,'2023/03/14 23:20:59:607',12,10.132707,0.063111,-0.54018,1
2198,'2023/03/14 23:20:59:628',12,9.842875,0.061914,-0.525823,1
2199,'2023/03/14 23:20:59:647',12,9.925428,0.175573,-0.469591,1
2200,'2023/03/14 23:20:59:667',12,10.063314,0.234198,-0.35683,1
2201,'2023/03/14 23:20:59:685',12,10.001101,0.242572,-0.350848,1
2202,'2023/03/14 23:20:59:703',12,9.805787,0.201894,-0.32333,1
2203,'2023/03/14 23:20:59:724',12,10.045368,0.218644,-0.210867,1
2204,'2023/03/14 23:20:59:743',12,10.357632,0.219841,-0.117547,1
2205,'2023/03/14 23:20:59:761',12,10.391131,0.231805,-0.117547,1
2206,'2023/03/14 23:20:59:781',12,10.234402,0.108574,-0.032602,1
2207,'2023/03/14 23:20:59:801',12,10.332507,0.088235,-0.058923,1
2208,'2023/03/14 23:20:59:819',12,10.343275,0.039182,-0.191725,1
2209,'2023/03/14 23:20:59:838',12,10.269097,0.052343,-0.24676,1
2210,'2023/03/14 23:20:59:859',12,10.197312,0.070289,-0.225224,1
2211,'2023/03/14 23:20:59:877',12,10.11835,0.058325,-0.304188,1
2212,'2023/03/14 23:20:59:897',12,10.199706,0.053539,-0.186939,1
2213,'2023/03/14 23:20:59:916',12,10.332507,0.133699,-0.042173,1
2214,'2023/03/14 23:20:59:934',12,10.167402,0.122931,-0.031406,1
2215,'2023/03/14 23:20:59:952',12,10.161421,0.163609,-0.105583,1
2216,'2023/03/14 23:20:59:973',12,10.23799,0.242572,-0.25992,1
2217,'2023/03/14 23:20:59:991',12,10.07169,0.25334,-0.317348,1
2218,'2023/03/14 23:21:00:010',12,9.94128,0.301197,-0.206082,1
2219,'2023/03/14 23:21:00:030',12,9.929018,0.280858,0.014058,1
2220,'2023/03/14 23:21:00:049',12,10.03819,0.274875,-0.007478,1
2221,'2023/03/14 23:21:00:067',12,10.00828,0.258126,-0.337687,1
2222,'2023/03/14 23:21:00:088',12,9.850055,0.242572,-0.604786,1
2223,'2023/03/14 23:21:00:106',12,9.785448,0.296411,-0.54018,1
2224,'2023/03/14 23:21:00:126',12,9.739985,0.323928,-0.367597,1
2225,'2023/03/14 23:21:00:147',12,9.739985,0.358624,-0.328116,1
2226,'2023/03/14 23:21:00:164',12,9.692128,0.392124,-0.437288,1
2227,'2023/03/14 23:21:00:183',12,9.649057,0.384945,-0.440878,1
2228,'2023/03/14 23:21:00:203',12,9.731609,0.351446,-0.401396,1
2229,'2023/03/14 23:21:00:221',12,9.969995,0.359821,-0.27667,1
2230,'2023/03/14 23:21:00:240',12,10.017851,0.343071,-0.262313,1
2231,'2023/03/14 23:21:00:261',12,9.810573,0.255733,-0.349651,1
2232,'2023/03/14 23:21:00:279',12,9.907482,0.304786,-0.397508,1
2233,'2023/03/14 23:21:00:299',12,10.094421,0.328714,-0.375972,1
2234,'2023/03/14 23:21:00:318',12,10.087243,0.321536,-0.352044,1
2235,'2023/03/14 23:21:00:336',12,9.989138,0.276072,-0.202493,1
2236,'2023/03/14 23:21:00:355',12,9.980762,0.246162,-0.09003,1
2237,'2023/03/14 23:21:00:376',12,10.014262,0.199502,0.04995,1
2238,'2023/03/14 23:21:00:393',12,10.042975,0.173181,0.029611,1
2239,'2023/03/14 23:21:00:414',12,10.050154,0.133699,0.061914,1
2240,'2023/03/14 23:21:00:433',12,10.126724,0.167198,0.040379,1
2241,'2023/03/14 23:21:00:453',12,10.03819,0.186341,-0.080459,1
2242,'2023/03/14 23:21:00:471',12,9.97837,0.157627,-0.158225,1
2243,'2023/03/14 23:21:00:491',12,10.109975,0.173181,-0.118744,1
2244,'2023/03/14 23:21:00:510',12,10.226027,0.199502,-0.025424,1
2245,'2023/03/14 23:21:00:528',12,10.184153,0.180359,-0.064905,1
2246,'2023/03/14 23:21:00:548',12,10.072886,0.089432,-0.084048,1
2247,'2023/03/14 23:21:00:566',12,10.124331,0.120538,-0.129512,1
2248,'2023/03/14 23:21:00:587',12,10.161421,0.128913,-0.109173,1
2249,'2023/03/14 23:21:00:607',12,10.112368,0.169591,-0.252742,1
2250,'2023/03/14 23:21:00:624',12,10.03819,0.187537,-0.350848,1
2251,'2023/03/14 23:21:00:643',12,9.992726,0.213859,-0.283849,1
2252,'2023/03/14 23:21:00:663',12,10.010673,0.222233,-0.062512,1
2253,'2023/03/14 23:21:00:683',12,9.964012,0.175573,-0.037388,1
2254,'2023/03/14 23:21:00:701',12,9.97837,0.133699,-0.151047,1
2255,'2023/03/14 23:21:00:721',12,10.014262,0.127717,-0.2001,1
2256,'2023/03/14 23:21:00:740',12,9.983155,0.163609,-0.342473,1
2257,'2023/03/14 23:21:00:761',12,9.962816,0.144467,-0.542573,1
2258,'2023/03/14 23:21:00:779',12,10.126724,0.168395,-0.53659,1
2259,'2023/03/14 23:21:00:797',12,10.139885,0.241376,-0.409771,1
2260,'2023/03/14 23:21:00:816',12,9.940084,0.277268,-0.352044,1
2261,'2023/03/14 23:21:00:836',12,9.868001,0.28684,-0.391526,1
2262,'2023/03/14 23:21:00:854',12,10.04178,0.235394,-0.434896,1
2263,'2023/03/14 23:21:00:874',12,10.272687,0.17677,-0.466002,1
2264,'2023/03/14 23:21:00:893',12,10.243973,0.12652,-0.671785,1
2265,'2023/03/14 23:21:00:911',12,10.198509,0.11336,-0.792623,1
2266,'2023/03/14 23:21:00:932',12,10.254741,0.148056,-0.657428,1
2267,'2023/03/14 23:21:00:952',12,10.098011,0.170788,-0.592822,1
