time,grx,gry,grz,lax,lay,laz
166,0.77617,0.0430954,9.7257,0.222359,-0.0914085,-0.219174
167,0.77617,-0.00478821,9.7257,0.222359,-0.0914085,-0.219174
168,0.77617,-0.00478821,9.61302,0.222359,-0.0914085,-0.219174
169,0.77617,-0.00478821,9.61302,0.283349,-0.0914085,-0.219174
170,0.77617,-0.00478821,9.61302,0.283349,-0.146671,-0.219174
171,0.77617,-0.00478821,9.61302,0.283349,-0.146671,-0.320148
172,0.646735,-0.00478821,9.61302,0.283349,-0.146671,-0.320148
173,0.646735,0.0263367,9.61302,0.283349,-0.146671,-0.320148
174,0.646735,0.0263367,9.51246,0.283349,-0.146671,-0.320148
175,0.646735,0.0263367,9.51246,0.129284,-0.146671,-0.320148
176,0.646735,0.0263367,9.51246,0.129284,-0.118926,-0.320148
177,0.646735,0.0263367,9.51246,0.129284,-0.118926,-0.405635
178,0.481534,0.0263367,9.51246,0.129284,-0.118926,-0.405635
179,0.481534,0.143802,9.51246,0.129284,-0.118926,-0.405635
180,0.481534,0.143802,9.42867,0.129284,-0.118926,-0.405635
181,0.481534,0.143802,9.42867,-0.0570129,-0.118926,-0.405635
182,0.481534,0.143802,9.42867,-0.0570129,-0.00382156,-0.405635
183,0.481534,0.143802,9.42867,-0.0570129,-0.00382156,-0.471943
184,0.555754,0.143802,9.42867,-0.0570129,-0.00382156,-0.471943
185,0.555754,0.174927,9.42867,-0.0570129,-0.00382156,-0.471943
186,0.555754,0.174927,9.395,-0.0570129,-0.00382156,-0.471943
187,0.555754,0.174927,9.395,-6.87E-05,-0.00382156,-0.471943
188,0.555754,0.174927,9.395,-6.87E-05,0.0246399,-0.471943
189,0.555754,0.174927,9.395,-6.87E-05,0.0246399,-0.487678
190,0.761804,0.174927,9.395,-6.87E-05,0.0246399,-0.487678
191,0.761804,0.167744,9.395,-6.87E-05,0.0246399,-0.487678
192,0.761804,0.167744,9.28008,-6.87E-05,0.0246399,-0.487678
193,0.761804,0.167744,9.28008,0.192741,0.0246399,-0.487678
194,0.761804,0.167744,9.28008,0.192741,0.0186707,-0.487678
195,0.761804,0.167744,9.28008,0.192741,0.0186707,-0.582241
196,0.790535,0.167744,9.28008,0.192741,0.0186707,-0.582241
197,0.790535,0.208446,9.28008,0.192741,0.0186707,-0.582241
198,0.790535,0.208446,9.43824,0.192741,0.0186707,-0.582241
199,0.790535,0.208446,9.43824,0.209262,0.0186707,-0.582241
200,0.790535,0.208446,9.43824,0.209262,0.0675499,-0.582241
201,0.790535,0.208446,9.43824,0.209262,0.0675499,-0.409868
202,0.749834,0.208446,9.43824,0.209262,0.0675499,-0.409868
203,0.749834,0.184503,9.43824,0.209262,0.0675499,-0.409868
204,0.749834,0.184503,9.64414,0.209262,0.0675499,-0.409868
205,0.749834,0.184503,9.64414,0.151643,0.0675499,-0.409868
206,0.749834,0.184503,9.64414,0.151643,0.0599472,-0.409868
207,0.749834,0.184503,9.64414,0.151643,0.0599472,-0.196628
208,0.721104,0.184503,9.64414,0.151643,0.0599472,-0.196628
209,0.721104,0.0861908,9.64414,0.151643,0.0599472,-0.196628
210,0.721104,0.0861908,9.7233,0.151643,0.0599472,-0.196628
211,0.721104,0.0861908,9.7233,0.105339,0.0599472,-0.196628
212,0.721104,0.0861908,9.7233,0.105339,-0.0161926,-0.196628
213,0.721104,0.0861908,9.7233,0.105339,-0.0161926,-0.113071
214,0.589272,0.0861908,9.7233,0.105339,-0.0161926,-0.113071
215,0.589272,0.0861908,9.7233,0.105339,-0.0161926,-0.113071
216,0.589272,0.0861908,9.95793,0.105339,-0.0161926,-0.113071
217,0.589272,0.0861908,9.95793,-0.0353256,-0.0161926,-0.113071
218,0.589272,0.0861908,9.95793,-0.0353256,0.00337982,-0.113071
219,0.589272,0.0861908,9.95793,-0.0353256,0.00337982,0.118069
220,0.440833,0.0861908,9.95793,-0.0353256,0.00337982,0.118069
