@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 numeric
@attribute wek-2 numeric
@attribute wek-3 numeric
@attribute wek-4 numeric
@attribute wek-5 numeric
@attribute wek-6 numeric
@attribute wek-7 numeric
@attribute wek-8 numeric

@data
124,'2023/03/14 20:43:33:368',2,-0.259023,0.759721,-9.780065,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
125,'2023/03/14 20:43:33:386',2,-0.261416,0.759721,-9.790833,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
126,'2023/03/14 20:43:33:406',2,-0.25663,0.777667,-9.780065,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
127,'2023/03/14 20:43:33:425',2,-0.253041,0.789631,-9.772886,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
128,'2023/03/14 20:43:33:443',2,-0.244666,0.76331,-9.769297,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
129,'2023/03/14 20:43:33:463',2,-0.247059,0.76331,-9.770494,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
130,'2023/03/14 20:43:33:482',2,-0.24347,0.764507,-9.776475,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
131,'2023/03/14 20:43:33:502',2,-0.241077,0.764507,-9.762118,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
132,'2023/03/14 20:43:33:522',2,-0.23988,0.76331,-9.769297,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
133,'2023/03/14 20:43:33:541',2,-0.245863,0.769292,-9.772886,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
134,'2023/03/14 20:43:33:559',2,-0.250648,0.776471,-9.788439,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
135,'2023/03/14 20:43:33:579',2,-0.242273,0.788435,-9.803992,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
136,'2023/03/14 20:43:33:597',2,-0.24347,0.792024,-9.78126,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
